variant,kou_jing,window,ann,sharpe,maxdd,calmar,turnover,hit,n_obs,pvalue,down_month_hit,n_down_months,maxdd_improve
long_engine,500,full,0.20552534827648425,1.3795380622352962,-0.157609268683376,1.3040181582808288,10.795790858270307,0.5485294117647059,3041,,,,
short_engine,500,full,-0.02965589829048517,-0.4563279100389651,-0.35554894657843683,-0.08340876432309398,11.601446892469582,0.38010204081632654,3041,0.6187624750499002,,,
dual,500,full,0.1758694499859991,1.080997026850333,-0.20070332772415944,0.8762657399866769,22.397237750739887,0.5108447488584474,3041,0.033932135728542916,0.36363636363636365,22.0,-0.04309405904078345
raw_symmetric,500,full,0.310887450578727,1.278192845883158,-0.286696363703148,1.0843787711958113,21.349884906280828,0.5318227257580806,3041,0.001996007984031936,,,
buy_hold,500,full,0.09379515035522962,0.38064505738968335,-0.6519574332360281,0.14386698513378707,0.0,0.533048339362052,3041,,,,
long_engine,500,2014-2020,0.23152443848516197,1.4921290283991304,-0.12951778915790346,1.7875879444089,11.051552431165788,0.5579399141630901,1707,,,,
short_engine,500,2014-2020,-0.04618036970870361,-0.7180194192277555,-0.3205508827941741,-0.14406564507375277,10.620972466315173,0.3236994219653179,1707,0.8203592814371258,,,
dual,500,2014-2020,0.1853440687764584,1.101761342779191,-0.20070332772415944,0.9234728236852637,21.67252489748096,0.5114678899082569,1707,0.1217564870259481,0.08333333333333333,12.0,-0.07118553856625598
raw_symmetric,500,2014-2020,0.32991677130728875,1.2356334370288111,-0.286696363703148,1.1507532465563188,22.8207381370826,0.5242951409718056,1707,0.007984031936127744,,,
buy_hold,500,2014-2020,0.11032774610104852,0.40601942663355095,-0.6519574332360281,0.1692253826349221,0.0,0.5448154657293497,1707,,,,
long_engine,500,2021-2023,0.0594946522120604,0.5550417862108185,-0.1423819910423364,0.41785236866346415,9.099037138927098,0.5371900826446281,727,,,,
short_engine,500,2021-2023,0.04988772147758699,0.8484252878950836,-0.0681037260269689,0.7325255810208031,14.828060522696012,0.4774193548387097,727,0.043912175648702596,,,
dual,500,2021-2023,0.10938237368964737,0.8954101915529844,-0.14238199104233595,0.7682318029751638,23.927097661623108,0.5193050193050193,727,0.03792415169660679,0.8,5.0,4.440892098500626e-16
raw_symmetric,500,2021-2023,0.18872927829949793,1.1134717589937406,-0.1617698783048075,1.1666527803395723,16.85006877579092,0.5371900826446281,727,0.013972055888223553,,,
buy_hold,500,2021-2023,-0.03920318347025792,-0.2307556985858219,-0.31570423923360735,-0.1241769308053202,0.0,0.5213204951856947,727,,,,
long_engine,500,2024-2026,0.2994474978851764,1.74301965147007,-0.11932001632028977,2.5096166353294143,12.108731466227349,0.5387205387205387,607,,,,
short_engine,500,2024-2026,-0.07833372178387824,-1.0703785207665057,-0.18426341924196088,-0.4251181385113465,10.494233937397036,0.30158730158730157,607,0.8582834331337326,,,
dual,500,2024-2026,0.2211137761012981,1.1808544717044105,-0.16370464389869177,1.3506872550184577,22.602965403624385,0.49722222222222223,607,0.22954091816367264,0.6,5.0,-0.044384627578402
raw_symmetric,500,2024-2026,0.3942765831033076,1.5909704202659285,-0.2452397508542189,1.6077189025431795,22.602965403624385,0.5445544554455446,607,0.03592814371257485,,,
buy_hold,500,2024-2026,0.2065935815793096,0.8296420028584351,-0.19900270502409767,1.0381445898149613,0.0,0.514003294892916,607,,,,
long_engine,1000,full,0.1877256009338285,1.1610633040517646,-0.17760591398953152,1.0569783219318556,10.795790858270307,0.55,3041,,,,
short_engine,1000,full,0.051189274873728124,0.38748844282211525,-0.27844377987921687,0.18384061190353387,11.27918447878987,0.4309677419354839,3041,0.007984031936127744,,,
dual,1000,full,0.23891487580755666,1.1453101083216883,-0.2449285891989902,0.9754470745489505,22.074975337060177,0.506791569086651,3041,0.007984031936127744,0.5925925925925926,27.0,-0.06732267520945867
raw_symmetric,1000,full,0.4027198893288738,1.5234413150500725,-0.29857551233971247,1.3488041473095362,21.349884906280828,0.5328223925358214,3041,0.003992015968063872,,,
buy_hold,1000,full,0.0838043405665784,0.31377840625696907,-0.7234872372733578,0.1158338893197563,0.0,0.5432423544886551,3041,,,,
long_engine,1000,2014-2020,0.1811050497546726,1.0883533963514729,-0.17337154308540537,1.044606551523035,11.051552431165788,0.547925608011445,1707,,,,
short_engine,1000,2014-2020,0.08321082516329346,0.5412018144588967,-0.27844377987921687,0.29884246363624495,10.620972466315173,0.4351297405189621,1707,0.02594810379241517,,,
dual,1000,2014-2020,0.2643158749179661,1.1680485301037322,-0.2145067641262689,1.2322029843421496,21.67252489748096,0.5008333333333334,1707,0.01996007984031936,0.7333333333333333,15.0,-0.041135221040863534
raw_symmetric,1000,2014-2020,0.43986939595262875,1.546595012960378,-0.29857551233971247,1.4732266303612847,22.8207381370826,0.531493701259748,1707,0.007984031936127744,,,
buy_hold,1000,2014-2020,0.09849845636703215,0.34186075043187464,-0.7234872372733578,0.13614401373305238,0.0,0.546572934973638,1707,,,,
long_engine,1000,2021-2023,0.0882102820785123,0.7183980025119447,-0.1382038222000509,0.6382622468344425,9.099037138927098,0.5371900826446281,727,,,,
short_engine,1000,2021-2023,0.07607296140177373,0.6428524656445501,-0.13604977982628907,0.5591553437198143,13.480055020632737,0.45495495495495497,727,0.08982035928143713,,,
dual,1000,2021-2023,0.16428324348028606,0.9642812741390906,-0.15793014129792426,1.0402272937271493,22.579092159559835,0.505982905982906,727,0.033932135728542916,0.42857142857142855,7.0,-0.019726319097873368
raw_symmetric,1000,2021-2023,0.2674380279961728,1.3453539435549038,-0.1417441896340964,1.8867653671487135,16.85006877579092,0.5261707988980716,727,0.015968063872255488,,,
buy_hold,1000,2021-2023,-0.02077807112660189,-0.10384095477533385,-0.3462427111864591,-0.060010132936523984,0.0,0.5364511691884457,727,,,,
long_engine,1000,2024-2026,0.3161633659353062,1.6945365280628961,-0.12634979002565383,2.502286437287414,12.108731466227349,0.569023569023569,607,,,,
short_engine,1000,2024-2026,-0.06854338814139081,-1.0643769786656572,-0.17013579795783618,-0.4028745799774457,10.494233937397036,0.29411764705882354,607,0.846307385229541,,,
dual,1000,2024-2026,0.24761997779391542,1.251697801787402,-0.14806669065716171,1.6723543742006264,22.602965403624385,0.5287356321839081,607,0.15568862275449102,0.4,5.0,-0.021716900631507885
raw_symmetric,1000,2024-2026,0.4486427214297822,1.6361080508118002,-0.25943482258268524,1.7293080279799136,22.602965403624385,0.5429042904290429,607,0.033932135728542916,,,
buy_hold,1000,2024-2026,0.16773936137311465,0.6081202538494581,-0.2667372748695275,0.6288560961536519,0.0,0.5420098846787479,607,,,,
long_engine,blend,full,0.19662547460515642,1.2753850284921315,-0.14025699119460822,1.4018942865552868,10.795790858270307,0.5507352941176471,3041,,,,
short_engine,blend,full,0.001002692379901134,0.011805704441784146,-0.28386242893082714,0.003532318044616868,15.468595856626111,0.3896353166986564,3041,0.12574850299401197,,,
dual,blend,full,0.19762816698505753,1.1228108675523776,-0.20504025777941615,0.9638505585457633,26.264386714896414,0.506113769271664,3041,0.007984031936127744,0.43478260869565216,23.0,-0.06478326658480793
raw_symmetric,blend,full,0.35680366995380053,1.4180613520693215,-0.2925550608889208,1.219612024039721,21.349884906280828,0.530156614461846,3041,0.001996007984031936,,,
buy_hold,blend,full,0.08879974546090398,0.3485722158508635,-0.6891698640342101,0.12885030250901394,0.0,0.5419269976981256,3041,,,,
long_engine,blend,2014-2020,0.20631474411991732,1.2915032013679195,-0.13836417487756347,1.4910994432083475,11.051552431165788,0.5550786838340487,1707,,,,
short_engine,blend,2014-2020,-0.014525589105149775,-0.17152893991010032,-0.28386242893082714,-0.051171228118707585,15.500878734622145,0.3619402985074627,1707,0.36127744510978044,,,
dual,blend,2014-2020,0.19178915501476754,1.060352635184728,-0.20504025777941615,0.935373165698493,26.55243116578793,0.5015511892450879,1707,0.04790419161676647,0.3076923076923077,13.0,-0.06667608290185267
raw_symmetric,blend,2014-2020,0.3848930836299588,1.4058156112534208,-0.2925550608889208,1.3156261336258253,22.8207381370826,0.5272945410917816,1707,0.007984031936127744,,,
buy_hold,blend,2014-2020,0.10441310123404035,0.3751863414114243,-0.6891698640342101,0.15150561085598677,0.0,0.5436438195664909,1707,,,,
long_engine,blend,2021-2023,0.07385246714528634,0.6515160431987456,-0.14025699119460833,0.5265510582842542,9.099037138927098,0.5234159779614325,727,,,,
short_engine,blend,2021-2023,0.11134916896403713,1.1498001691261828,-0.09752995136797726,1.1416920382121427,20.220082530949107,0.4595959595959596,727,0.013972055888223553,,,
dual,blend,2021-2023,0.1852016361093235,1.2440993648301735,-0.14025699119460855,1.3204449527393156,29.319119669876205,0.5008912655971479,727,0.013972055888223553,0.6,5.0,-2.220446049250313e-16
raw_symmetric,blend,2021-2023,0.22808365314783535,1.2560757952402728,-0.15035075042658586,1.5170104073355148,16.85006877579092,0.5261707988980716,727,0.013972055888223553,,,
buy_hold,blend,2021-2023,-0.029990627298429905,-0.16435712704226418,-0.32622776631813655,-0.09193155946506133,0.0,0.530949105914718,727,,,,
long_engine,blend,2024-2026,0.30780543191024134,1.7286428389876543,-0.1188739796011391,2.589342368641386,12.108731466227349,0.5723905723905723,607,,,,
short_engine,blend,2024-2026,-0.08736899128020593,-1.2786523260061786,-0.20583689099144853,-0.4244573985711612,9.686985172981878,0.2777777777777778,607,0.9141716566866267,,,
dual,blend,2024-2026,0.22043644063003537,1.1523218681947656,-0.16987350771081944,1.2976504906538497,21.79571663920923,0.5270655270655271,607,0.22355289421157684,0.6,5.0,-0.05099952810968034
raw_symmetric,blend,2024-2026,0.4214596522665449,1.6306625673628763,-0.2501863622216788,1.6845828386645179,22.602965403624385,0.5412541254125413,607,0.03792415169660679,,,
buy_hold,blend,2024-2026,0.18716647147621213,0.7202339165507102,-0.2222031930939815,0.8423212505188866,0.0,0.5502471169686985,607,,,,
