family,length,skip,z_window,smoothing,sharpe_train_14_20,sharpe_val_21_23,sharpe_holdout_24_26,worst
classic,5,0,10,0,-0.4752220929672159,-0.6484283335577747,0.11550428189219725,-0.6484283335577747
classic,5,0,10,5,-0.40893135827341726,-0.6514715973030102,-0.38104755809001073,-0.6514715973030102
classic,5,0,15,0,-0.5991329595631166,-0.5634041919835904,0.7504173178895533,-0.5991329595631166
classic,5,0,15,5,-0.33305534404887277,-1.4471087821280917,-0.3873310506516026,-1.4471087821280917
classic,5,0,20,0,-0.34150166459053277,-0.6650168615832659,0.19748446108234569,-0.6650168615832659
classic,5,0,20,5,-0.35915177134907483,-0.9372044369216537,-0.7125234153377336,-0.9372044369216537
classic,5,0,25,0,-0.5369503998620596,-0.8471254791945828,0.4030416156960956,-0.8471254791945828
classic,5,0,25,5,-0.32217113873808184,-0.361875645578713,-0.8444307996929573,-0.8444307996929573
classic,5,0,30,0,-0.35092360415136625,-0.7400836258253984,0.28626314147147375,-0.7400836258253984
classic,5,0,30,5,-0.1841353861215565,-0.25114788957408096,-0.5990642161704482,-0.5990642161704482
classic,10,0,10,0,-0.15881525903699897,-0.0584824675920337,-0.14482738463949305,-0.15881525903699897
classic,10,0,10,5,-0.08417645342669604,-0.9007229537414969,-1.2029505085860919,-1.2029505085860919
classic,10,0,15,0,-0.22151852235732716,-0.7600756489916546,-0.21426154070430048,-0.7600756489916546
classic,10,0,15,5,-0.09040794268512002,-0.6492595955410024,-0.41810196665148386,-0.6492595955410024
classic,10,0,20,0,0.12391252004077696,-0.7741713676460509,-0.5250666128544356,-0.7741713676460509
classic,10,0,20,5,-0.1352639274654752,-0.4807410099738516,0.2861802853508887,-0.4807410099738516
classic,10,0,25,0,0.20354356770162058,-0.12263749049483526,-0.6263539734897989,-0.6263539734897989
classic,10,0,25,5,0.28064948549981167,0.1266800477793279,0.16340970605964455,0.1266800477793279
classic,10,0,30,0,0.38543091795526974,0.0866365678561662,-0.6131937483840779,-0.6131937483840779
classic,10,0,30,5,0.6666165297850511,0.5498816955359491,0.2801234315510844,0.2801234315510844
slope,5,0,10,0,-0.5211279680524652,0.12474691886014815,0.11118301235892428,-0.5211279680524652
slope,5,0,10,5,-0.4027920191397821,-1.1607376977492319,-0.4005493425939366,-1.1607376977492319
slope,5,0,15,0,-0.6118492530703352,0.020576144696540365,0.23645664357697632,-0.6118492530703352
slope,5,0,15,5,-0.14759440738251003,-1.006224255659706,-0.6328112157054698,-1.006224255659706
slope,5,0,20,0,-0.8036774148904169,-0.3029721502503846,0.14276907609372178,-0.8036774148904169
slope,5,0,20,5,-0.20393521381938928,-0.959058205674834,-0.8418448424973316,-0.959058205674834
slope,5,0,25,0,-0.5427572535348505,-0.4801052959237056,0.19533953765633152,-0.5427572535348505
slope,5,0,25,5,-0.17997129407614207,-0.7985723306904751,-0.9108843072430073,-0.9108843072430073
slope,5,0,30,0,-0.584800274495573,0.045359957177105524,-0.2012612637587488,-0.584800274495573
slope,5,0,30,5,-0.011201603984874279,-0.46872945215933143,-0.5048981144303917,-0.5048981144303917
slope,10,0,10,0,-0.5677579092045365,-0.8638496025683152,-0.8544321099611035,-0.8638496025683152
slope,10,0,10,5,0.018936135193632953,-0.7671362602649847,-0.8499828009338016,-0.8499828009338016
slope,10,0,15,0,0.02154585346396413,-0.7961163708156259,-0.8579298859663472,-0.8579298859663472
slope,10,0,15,5,0.23911638732515905,-0.3772737955491632,-0.20922757935510128,-0.3772737955491632
slope,10,0,20,0,-0.08980733260234793,-0.552175601362173,-0.45702843351049294,-0.552175601362173
slope,10,0,20,5,0.24653382847093508,-0.0604510009534297,-0.23635914674900038,-0.23635914674900038
slope,10,0,25,0,-0.05316457282321878,0.0763634378446221,-0.7847865329206536,-0.7847865329206536
slope,10,0,25,5,0.32769664656261405,0.04885175922393002,0.03619115287321221,0.03619115287321221
slope,10,0,30,0,0.18564361228644932,0.44397846255332873,-0.6286811660276636,-0.6286811660276636
slope,10,0,30,5,0.5170034135754304,0.26394722979310065,0.058298053221927625,0.058298053221927625
voladj,5,0,10,0,-0.3173458814368991,-0.3382413387885859,-0.7758551581818203,-0.7758551581818203
voladj,5,0,10,5,-0.45770174148887416,-0.23939673507391543,-0.050172120155073566,-0.45770174148887416
voladj,5,0,15,0,-0.7179968348630201,-0.3365625961993415,0.09377200336569455,-0.7179968348630201
voladj,5,0,15,5,-0.5109153774063766,-0.1657627550876389,0.2569823182632598,-0.5109153774063766
voladj,5,0,20,0,-0.6845581080351681,-0.535025752618063,-0.1285843996970063,-0.6845581080351681
voladj,5,0,20,5,-0.35746522328349795,-0.468277648471824,0.2784729880206406,-0.468277648471824
voladj,5,0,25,0,-0.15076874687740172,-0.8557856851662253,-0.009082589373246661,-0.8557856851662253
voladj,5,0,25,5,-0.2513395449601201,-0.16943095021388022,0.2697738067937526,-0.2513395449601201
voladj,5,0,30,0,0.08248084559985763,-0.572626342216882,-0.02281611240720985,-0.572626342216882
voladj,5,0,30,5,-0.21269401590334774,-0.13286318550021217,0.05265680734768913,-0.21269401590334774
voladj,10,0,10,0,-0.4584248260128101,0.3769560655789073,-0.24413906706999847,-0.4584248260128101
voladj,10,0,10,5,-0.26728763468718636,-0.6412709380129347,-0.6765919397444508,-0.6765919397444508
voladj,10,0,15,0,-0.11117155213263018,-0.3333011014326899,-0.761845647492198,-0.761845647492198
voladj,10,0,15,5,-0.14585842217991218,-0.7159385989036554,-0.45618575478900475,-0.7159385989036554
voladj,10,0,20,0,0.13188661533052903,-0.7672741564315787,-0.7375330532014686,-0.7672741564315787
voladj,10,0,20,5,0.059917872014962216,-0.29296394711146034,-0.2482268057532482,-0.29296394711146034
voladj,10,0,25,0,0.5043434207017055,-0.4336627426125178,-0.36311510342138725,-0.4336627426125178
voladj,10,0,25,5,0.04600709633401208,0.1047588898489081,-0.04358579227903554,-0.04358579227903554
voladj,10,0,30,0,0.6994265082532255,0.02201480235054977,-0.42345780100274893,-0.42345780100274893
voladj,10,0,30,5,0.43525227737056227,0.252884833765944,0.14400941275026885,0.14400941275026885
