date,factor_value,position_中证1000,position_中证500,position_沪深300,position_common
2014-01-02,0.0,0,0,0,0
2014-01-03,0.0,0,0,0,0
2014-01-06,0.0,0,0,0,0
2014-01-07,0.0,0,0,0,0
2014-01-08,0.0,0,0,0,0
2014-01-09,0.0,0,0,0,0
2014-01-10,0.0,0,0,0,0
2014-01-13,0.0,0,0,0,0
2014-01-14,0.0,0,0,0,0
2014-01-15,0.0,0,0,0,0
2014-01-16,0.0,0,0,0,0
2014-01-17,0.0,0,0,0,0
2014-01-20,0.0,0,0,0,0
2014-01-21,0.0,0,0,0,0
2014-01-22,0.0,0,0,0,0
2014-01-23,0.0,0,0,0,0
2014-01-24,0.0,0,0,0,0
2014-01-27,0.0,0,0,0,0
2014-01-28,0.0,0,0,0,0
2014-01-29,0.0886,0,0,0,0
2014-01-30,-0.1864,0,0,0,0
2014-02-07,-0.1801,0,0,0,0
2014-02-10,-0.1192,0,0,0,0
2014-02-11,-0.077,0,0,0,0
2014-02-12,0.0068,0,0,0,0
2014-02-13,-0.2183,0,0,0,0
2014-02-14,-0.2078,0,0,0,0
2014-02-17,-0.1657,0,0,0,0
2014-02-18,0.0036,0,0,0,0
2014-02-19,-0.2795,0,0,0,0
2014-02-20,-0.197,0,0,0,0
2014-02-21,-0.1175,0,0,0,0
2014-02-24,-0.0765,0,0,0,0
2014-02-25,-0.1656,0,0,0,0
2014-02-26,-0.01,0,0,0,0
2014-02-27,-0.34,0,0,0,0
2014-02-28,-0.4177,0,0,0,0
2014-03-03,-0.459,0,0,0,0
2014-03-04,-0.3768,0,0,0,0
2014-03-05,-0.3266,0,0,0,0
2014-03-06,0.0854,0,0,0,0
2014-03-07,0.151,0,0,0,0
2014-03-10,0.2524,0,0,0,0
2014-03-11,0.5611,0,0,0,0
2014-03-12,0.5706,0,0,0,0
2014-03-13,0.727,0,1,1,1
2014-03-14,0.6314,0,1,1,1
2014-03-17,0.5055,0,1,1,1
2014-03-18,0.3131,0,1,1,1
2014-03-19,-0.1219,0,1,1,1
2014-03-20,-0.4416,0,1,1,1
2014-03-21,-0.6328,0,1,1,1
2014-03-24,-0.7315,-1,-1,0,-1
2014-03-25,-0.6661,-1,-1,0,-1
2014-03-26,-0.3512,-1,-1,0,-1
2014-03-27,-0.3046,-1,-1,0,-1
2014-03-28,-0.2986,-1,-1,0,-1
2014-03-31,0.067,-1,-1,0,-1
2014-04-01,0.1686,-1,-1,0,-1
2014-04-02,-0.1625,-1,-1,0,-1
2014-04-03,0.0508,-1,-1,0,-1
2014-04-04,0.2647,-1,-1,0,-1
2014-04-08,0.187,-1,-1,0,-1
2014-04-09,0.1841,-1,-1,0,-1
2014-04-10,0.1832,-1,-1,0,-1
2014-04-11,0.2021,-1,-1,0,-1
2014-04-14,0.2875,-1,-1,0,-1
2014-04-15,0.3909,-1,-1,0,-1
2014-04-16,0.2638,-1,-1,0,-1
2014-04-17,0.4933,0,0,0,0
2014-04-18,0.448,0,0,0,0
2014-04-21,0.3787,0,0,0,0
2014-04-22,0.09,0,0,0,0
2014-04-23,0.0778,0,0,0,0
2014-04-24,-0.0928,0,0,0,0
2014-04-25,-0.2675,0,0,0,0
2014-04-28,-0.5096,0,0,0,0
2014-04-29,-0.3067,0,0,0,0
2014-04-30,-0.0854,0,0,0,0
2014-05-05,0.0656,0,0,0,0
2014-05-06,0.3015,0,0,0,0
2014-05-07,0.2974,0,0,0,0
2014-05-08,0.1157,0,0,0,0
2014-05-09,-0.2062,0,0,0,0
2014-05-12,-0.4786,0,0,0,0
2014-05-13,-0.4816,0,0,0,0
2014-05-14,-0.3014,0,0,0,0
2014-05-15,-0.1982,0,0,0,0
2014-05-16,-0.234,0,0,0,0
2014-05-19,-0.0822,0,0,0,0
2014-05-20,-0.1418,0,0,0,0
2014-05-21,-0.0196,0,0,0,0
2014-05-22,0.143,0,0,0,0
2014-05-23,0.4428,0,0,0,0
2014-05-26,0.6214,0,0,1,0
2014-05-27,0.5496,0,0,1,0
2014-05-28,0.5322,0,0,1,0
2014-05-29,0.4118,0,0,1,0
2014-05-30,0.2917,0,0,1,0
2014-06-03,0.0324,0,0,1,0
2014-06-04,0.138,0,0,1,0
2014-06-05,0.1989,0,0,1,0
2014-06-06,0.2562,0,0,1,0
2014-06-09,-0.0115,0,0,1,0
2014-06-10,0.0347,0,0,1,0
2014-06-11,0.1434,0,0,1,0
2014-06-12,0.1044,0,0,1,0
2014-06-13,-0.0578,0,0,1,0
2014-06-16,0.1389,0,0,1,0
2014-06-17,-0.0128,0,0,1,0
2014-06-18,-0.1734,0,0,1,0
2014-06-19,-0.4894,0,0,1,0
2014-06-20,-0.269,0,0,1,0
2014-06-23,0.2247,0,0,1,0
2014-06-24,0.3132,0,0,1,0
2014-06-25,0.1794,0,0,1,0
2014-06-26,0.4602,0,0,1,0
2014-06-27,0.1686,0,0,1,0
2014-06-30,-0.1118,0,0,1,0
2014-07-01,-0.0252,0,0,1,0
2014-07-02,-0.1533,0,0,1,0
2014-07-03,-0.1764,0,0,1,0
2014-07-04,-0.0762,0,0,1,0
2014-07-07,-0.3525,0,0,1,0
2014-07-08,-0.4027,0,0,1,0
2014-07-09,-0.3656,0,0,1,0
2014-07-10,-0.6206,0,0,1,0
2014-07-11,-0.6497,0,0,1,0
2014-07-14,-0.4701,0,0,1,0
2014-07-15,-0.5026,0,0,1,0
2014-07-16,-0.5548,0,0,1,0
2014-07-17,-0.4212,0,0,1,0
2014-07-18,-0.3555,0,0,1,0
2014-07-21,-0.1222,0,0,1,0
2014-07-22,0.0133,0,0,1,0
2014-07-23,-0.0646,0,0,1,0
2014-07-24,-0.3707,0,0,1,0
2014-07-25,-0.3202,0,0,1,0
2014-07-28,-0.4614,0,0,1,0
2014-07-29,-0.1758,0,0,1,0
2014-07-30,0.4338,0,0,1,0
2014-07-31,0.6568,0,0,1,0
2014-08-01,0.7094,0,1,1,1
2014-08-04,0.589,0,1,1,1
2014-08-05,0.4477,0,1,1,1
2014-08-06,0.2715,0,1,1,1
2014-08-07,0.3935,0,1,1,1
2014-08-08,0.4172,0,1,1,1
2014-08-11,0.47,0,1,1,1
2014-08-12,0.4275,0,1,1,1
2014-08-13,0.2608,0,1,1,1
2014-08-14,0.1151,0,1,1,1
2014-08-15,-0.1553,0,1,1,1
2014-08-18,0.1239,0,1,1,1
2014-08-19,0.1075,0,1,1,1
2014-08-20,0.1643,0,1,1,1
2014-08-21,0.3193,0,1,1,1
2014-08-22,0.3435,0,1,1,1
2014-08-25,-0.0077,0,1,1,1
2014-08-26,-0.2771,0,1,1,1
2014-08-27,-0.1169,0,1,1,1
2014-08-28,-0.4446,0,1,1,1
2014-08-29,-0.3845,0,1,1,1
2014-09-01,0.0038,0,1,1,1
2014-09-02,-0.0859,0,1,1,1
2014-09-03,-0.1272,0,1,1,1
2014-09-04,-0.1955,0,1,1,1
2014-09-05,-0.3469,0,1,1,1
2014-09-09,-0.5451,0,1,1,1
2014-09-10,-0.2845,0,1,1,1
2014-09-11,-0.1887,0,1,1,1
2014-09-12,-0.2959,0,1,1,1
2014-09-15,-0.2081,0,1,1,1
2014-09-16,-0.4369,0,1,1,1
2014-09-17,-0.535,0,1,1,1
2014-09-18,-0.435,0,1,1,1
2014-09-19,-0.1756,0,1,1,1
2014-09-22,0.1584,0,1,1,1
2014-09-23,0.4413,0,1,1,1
2014-09-24,0.2339,0,1,1,1
2014-09-25,-0.0664,0,1,1,1
2014-09-26,-0.0665,0,1,1,1
2014-09-29,-0.2767,0,1,1,1
2014-09-30,-0.0726,0,1,1,1
2014-10-08,0.4883,0,1,1,1
2014-10-09,0.4014,0,1,1,1
2014-10-10,0.3384,0,1,1,1
2014-10-13,0.1297,0,1,1,1
2014-10-14,-0.1004,0,1,1,1
2014-10-15,-0.434,0,1,1,1
2014-10-16,-0.3205,0,1,1,1
2014-10-17,-0.0469,0,1,1,1
2014-10-20,0.1634,0,1,1,1
2014-10-21,0.2447,0,1,1,1
2014-10-22,0.1901,0,1,1,1
2014-10-23,0.2747,0,1,1,1
2014-10-24,0.1374,0,1,1,1
2014-10-27,0.216,0,1,1,1
2014-10-28,-0.2177,0,1,1,1
2014-10-29,-0.5328,0,1,1,1
2014-10-30,-0.7247,-1,-1,0,-1
2014-10-31,-0.8085,-1,-1,-1,-1
2014-11-03,-0.7932,-1,-1,-1,-1
2014-11-04,-0.7417,-1,-1,-1,-1
2014-11-05,-0.5859,-1,-1,-1,-1
2014-11-06,-0.3511,-1,-1,-1,-1
2014-11-07,-0.0888,-1,-1,0,-1
2014-11-10,-0.2276,-1,-1,0,-1
2014-11-11,0.04,-1,-1,0,-1
2014-11-12,-0.0988,-1,-1,0,-1
2014-11-13,-0.2856,-1,-1,0,-1
2014-11-14,-0.1775,-1,-1,0,-1
2014-11-17,0.3051,-1,-1,0,-1
2014-11-18,0.4017,-1,-1,0,-1
2014-11-19,0.5919,0,0,0,0
2014-11-20,0.6059,0,0,1,0
2014-11-21,0.4408,0,0,1,0
2014-11-24,0.0209,0,0,1,0
2014-11-25,0.0272,0,0,1,0
2014-11-26,-0.1597,0,0,1,0
2014-11-27,-0.0192,0,0,1,0
2014-11-28,-0.0399,0,0,1,0
2014-12-01,0.1759,0,0,1,0
2014-12-02,-0.0768,0,0,1,0
2014-12-03,0.025,0,0,1,0
2014-12-04,-0.2442,0,0,1,0
2014-12-05,-0.2083,0,0,1,0
2014-12-08,-0.6407,0,0,1,0
2014-12-09,-0.4788,0,0,1,0
2014-12-10,-0.4909,0,0,1,0
2014-12-11,-0.3311,0,0,1,0
2014-12-12,-0.2244,0,0,1,0
2014-12-15,0.4176,0,0,1,0
2014-12-16,0.1178,0,0,1,0
2014-12-17,-0.0937,0,0,1,0
2014-12-18,-0.07,0,0,1,0
2014-12-19,-0.5427,0,0,1,0
2014-12-22,-0.7004,-1,-1,0,-1
2014-12-23,-0.2872,-1,-1,0,-1
2014-12-24,0.1965,-1,-1,0,-1
2014-12-25,-0.0142,-1,-1,0,-1
2014-12-26,0.2494,-1,-1,0,-1
2014-12-29,0.2351,-1,-1,0,-1
2014-12-30,-0.0062,-1,-1,0,-1
2014-12-31,-0.3389,-1,-1,0,-1
2015-01-05,-0.3257,-1,-1,0,-1
2015-01-06,0.2468,-1,-1,0,-1
2015-01-07,0.309,-1,-1,0,-1
2015-01-08,0.5186,0,0,0,0
2015-01-09,0.5651,0,0,0,0
2015-01-12,0.7866,1,1,1,1
2015-01-13,0.7035,1,1,1,1
2015-01-14,0.7328,1,1,1,1
2015-01-15,0.4136,1,1,1,1
2015-01-16,0.4027,1,1,1,1
2015-01-19,0.5275,1,1,1,1
2015-01-20,0.5191,1,1,1,1
2015-01-21,0.2865,1,1,1,1
2015-01-22,0.5352,1,1,1,1
2015-01-23,0.3367,1,1,1,1
2015-01-26,-0.1974,1,1,1,1
2015-01-27,-0.3532,1,1,1,1
2015-01-28,-0.1413,1,1,1,1
2015-01-29,-0.2737,1,1,1,1
2015-01-30,-0.0876,1,1,1,1
2015-02-02,0.1627,1,1,1,1
2015-02-03,0.0955,1,1,1,1
2015-02-04,0.0279,1,1,1,1
2015-02-05,0.2151,1,1,1,1
2015-02-06,0.2028,1,1,1,1
2015-02-09,-0.26,1,1,1,1
2015-02-10,-0.1805,1,1,1,1
2015-02-11,0.0393,1,1,1,1
2015-02-12,-0.1774,1,1,1,1
2015-02-13,-0.2372,1,1,1,1
2015-02-16,0.1043,1,1,1,1
2015-02-17,0.0253,1,1,1,1
2015-02-25,-0.1697,1,1,1,1
2015-02-26,-0.4276,1,1,1,1
2015-02-27,-0.3184,1,1,1,1
2015-03-02,-0.4491,1,1,1,1
2015-03-03,-0.3711,1,1,1,1
2015-03-04,-0.0116,1,1,1,1
2015-03-05,0.5101,1,1,1,1
2015-03-06,-0.0626,1,1,1,1
2015-03-09,-0.1149,1,1,1,1
2015-03-10,0.1796,1,1,1,1
2015-03-11,-0.2049,1,1,1,1
2015-03-12,-0.5592,1,1,1,1
2015-03-13,-0.1,1,1,1,1
2015-03-16,-0.0239,1,1,1,1
2015-03-17,-0.5602,1,1,1,1
2015-03-18,-0.5825,1,1,1,1
2015-03-19,-0.456,1,1,1,1
2015-03-20,-0.3203,1,1,1,1
2015-03-23,-0.2414,1,1,1,1
2015-03-24,0.2213,1,1,1,1
2015-03-25,0.5745,1,1,1,1
2015-03-26,0.1853,1,1,1,1
2015-03-27,0.1648,1,1,1,1
2015-03-30,-0.4176,1,1,1,1
2015-03-31,-0.135,1,1,1,1
2015-04-01,-0.1805,1,1,1,1
2015-04-02,0.5022,1,1,1,1
2015-04-03,0.3682,1,1,1,1
2015-04-07,0.539,1,1,1,1
2015-04-08,-0.1386,1,1,1,1
2015-04-09,-0.241,1,1,1,1
2015-04-10,-0.2618,1,1,1,1
2015-04-13,-0.4486,1,1,1,1
2015-04-14,-0.4757,1,1,1,1
2015-04-15,-0.4887,1,1,1,1
2015-04-16,-0.5247,1,1,1,1
2015-04-17,-0.7383,-1,-1,0,-1
2015-04-20,-0.6631,-1,-1,0,-1
2015-04-21,-0.3698,-1,-1,0,-1
2015-04-22,-0.1039,-1,-1,0,-1
2015-04-23,-0.0025,-1,-1,0,-1
2015-04-24,0.2896,-1,-1,0,-1
2015-04-27,0.235,-1,-1,0,-1
2015-04-28,-0.1493,-1,-1,0,-1
2015-04-29,0.0384,-1,-1,0,-1
2015-04-30,0.1686,-1,-1,0,-1
2015-05-04,0.0313,-1,-1,0,-1
2015-05-05,0.4663,0,0,0,0
2015-05-06,0.7502,1,1,1,1
2015-05-07,0.772,1,1,1,1
2015-05-08,0.7197,1,1,1,1
2015-05-11,0.7363,1,1,1,1
2015-05-12,0.6251,1,1,1,1
2015-05-13,0.4255,1,1,1,1
2015-05-14,0.1578,1,1,1,1
2015-05-15,0.1723,1,1,1,1
2015-05-18,0.2984,1,1,1,1
2015-05-19,0.1675,1,1,1,1
2015-05-20,0.1603,1,1,1,1
2015-05-21,0.3113,1,1,1,1
2015-05-22,-0.0539,1,1,1,1
2015-05-25,-0.4908,1,1,1,1
2015-05-26,-0.3679,1,1,1,1
2015-05-27,-0.4883,1,1,1,1
2015-05-28,-0.5761,1,1,1,1
2015-05-29,-0.3189,1,1,1,1
2015-06-01,-0.239,1,1,1,1
2015-06-02,-0.2377,1,1,1,1
2015-06-03,-0.188,1,1,1,1
2015-06-04,-0.3583,1,1,1,1
2015-06-05,-0.5883,1,1,1,1
2015-06-08,-0.7258,-1,-1,0,-1
2015-06-09,-0.7254,-1,-1,0,-1
2015-06-10,-0.5309,-1,-1,0,-1
2015-06-11,-0.3184,-1,-1,0,-1
2015-06-12,-0.1207,-1,-1,0,-1
2015-06-15,0.1015,-1,-1,0,-1
2015-06-16,0.2109,-1,-1,0,-1
2015-06-17,-0.0616,-1,-1,0,-1
2015-06-18,-0.3333,-1,-1,0,-1
2015-06-19,-0.0203,-1,-1,0,-1
2015-06-23,0.3308,-1,-1,0,-1
2015-06-24,0.0003,-1,-1,0,-1
2015-06-25,-0.0784,-1,-1,0,-1
2015-06-26,0.0971,-1,-1,0,-1
2015-06-29,-0.2294,-1,-1,0,-1
2015-06-30,-0.2297,-1,-1,0,-1
2015-07-01,0.2322,-1,-1,0,-1
2015-07-02,0.4356,-1,-1,0,-1
2015-07-03,0.6565,0,0,1,0
2015-07-06,0.5899,0,0,1,0
2015-07-07,0.2368,0,0,1,0
2015-07-08,0.2397,0,0,1,0
2015-07-09,-0.0228,0,0,1,0
2015-07-10,-0.4351,0,0,1,0
2015-07-13,-0.3087,0,0,1,0
2015-07-14,0.0516,0,0,1,0
2015-07-15,-0.075,0,0,1,0
2015-07-16,0.0564,0,0,1,0
2015-07-17,0.1939,0,0,1,0
2015-07-20,0.2879,0,0,1,0
2015-07-21,0.0995,0,0,1,0
2015-07-22,0.0748,0,0,1,0
2015-07-23,0.0714,0,0,1,0
2015-07-24,0.0202,0,0,1,0
2015-07-27,0.033,0,0,1,0
2015-07-28,0.0402,0,0,1,0
2015-07-29,-0.0901,0,0,1,0
2015-07-30,-0.1529,0,0,1,0
2015-07-31,-0.1041,0,0,1,0
2015-08-03,-0.2958,0,0,1,0
2015-08-04,-0.3222,0,0,1,0
2015-08-05,-0.2731,0,0,1,0
2015-08-06,-0.1712,0,0,1,0
2015-08-07,-0.1883,0,0,1,0
2015-08-10,0.0036,0,0,1,0
2015-08-11,-0.1305,0,0,1,0
2015-08-12,-0.1855,0,0,1,0
2015-08-13,-0.246,0,0,1,0
2015-08-14,-0.3227,0,0,1,0
2015-08-17,-0.4843,0,0,1,0
2015-08-18,-0.2185,0,0,1,0
2015-08-19,0.0986,0,0,1,0
2015-08-20,0.2516,0,0,1,0
2015-08-21,0.1865,0,0,1,0
2015-08-24,0.3667,0,0,1,0
2015-08-25,0.3716,0,0,1,0
2015-08-26,0.1398,0,0,1,0
2015-08-27,0.02,0,0,1,0
2015-08-28,0.0044,0,0,1,0
2015-08-31,-0.2984,0,0,1,0
2015-09-01,-0.5385,0,0,1,0
2015-09-02,-0.4988,0,0,1,0
2015-09-07,-0.2161,0,0,1,0
2015-09-08,0.0206,0,0,1,0
2015-09-09,0.2748,0,0,1,0
2015-09-10,0.4211,0,0,1,0
2015-09-11,0.4044,0,0,1,0
2015-09-14,0.1804,0,0,1,0
2015-09-15,0.0194,0,0,1,0
2015-09-16,-0.0103,0,0,1,0
2015-09-17,0.0698,0,0,1,0
2015-09-18,0.1332,0,0,1,0
2015-09-21,0.3738,0,0,1,0
2015-09-22,0.3037,0,0,1,0
2015-09-23,0.468,0,0,1,0
2015-09-24,0.3612,0,0,1,0
2015-09-25,0.2214,0,0,1,0
2015-09-28,0.294,0,0,1,0
2015-09-29,0.4107,0,0,1,0
2015-09-30,0.1401,0,0,1,0
2015-10-08,0.1561,0,0,1,0
2015-10-09,0.2311,0,0,1,0
2015-10-12,-0.1975,0,0,1,0
2015-10-13,-0.2689,0,0,1,0
2015-10-14,-0.2381,0,0,1,0
2015-10-15,-0.2014,0,0,1,0
2015-10-16,-0.2228,0,0,1,0
2015-10-19,-0.2518,0,0,1,0
2015-10-20,-0.2449,0,0,1,0
2015-10-21,-0.4039,0,0,1,0
2015-10-22,-0.2699,0,0,1,0
2015-10-23,-0.0801,0,0,1,0
2015-10-26,0.0797,0,0,1,0
2015-10-27,0.061,0,0,1,0
2015-10-28,0.0879,0,0,1,0
2015-10-29,-0.2391,0,0,1,0
2015-10-30,-0.2292,0,0,1,0
2015-11-02,-0.3546,0,0,1,0
2015-11-03,-0.3755,0,0,1,0
2015-11-04,0.2763,0,0,1,0
2015-11-05,0.0037,0,0,1,0
2015-11-06,0.303,0,0,1,0
2015-11-09,0.4102,0,0,1,0
2015-11-10,0.5443,0,0,1,0
2015-11-11,0.5356,0,0,1,0
2015-11-12,0.6853,0,0,1,0
2015-11-13,0.1622,0,0,1,0
2015-11-16,0.3631,0,0,1,0
2015-11-17,-0.1551,0,0,1,0
2015-11-18,-0.642,0,0,1,0
2015-11-19,-0.4024,0,0,1,0
2015-11-20,-0.1112,0,0,1,0
2015-11-23,-0.4701,0,0,1,0
2015-11-24,0.0011,0,0,1,0
2015-11-25,0.4445,0,0,1,0
2015-11-26,-0.0815,0,0,1,0
2015-11-27,-0.248,0,0,1,0
2015-11-30,-0.1549,0,0,1,0
2015-12-01,-0.56,0,0,1,0
2015-12-02,-0.8073,-1,-1,-1,-1
2015-12-03,-0.6341,-1,-1,-1,-1
2015-12-04,-0.4988,-1,-1,-1,-1
2015-12-07,-0.3222,-1,-1,-1,-1
2015-12-08,-0.0212,-1,-1,0,-1
2015-12-09,0.2977,-1,-1,0,-1
2015-12-10,0.4162,-1,-1,0,-1
2015-12-11,0.2675,-1,-1,0,-1
2015-12-14,0.0818,-1,-1,0,-1
2015-12-15,0.1945,-1,-1,0,-1
2015-12-16,0.4087,-1,-1,0,-1
2015-12-17,0.2261,-1,-1,0,-1
2015-12-18,0.2614,-1,-1,0,-1
2015-12-21,0.1631,-1,-1,0,-1
2015-12-22,0.0024,-1,-1,0,-1
2015-12-23,-0.2215,-1,-1,0,-1
2015-12-24,-0.1551,-1,-1,0,-1
2015-12-25,-0.1649,-1,-1,0,-1
2015-12-28,0.0769,-1,-1,0,-1
2015-12-29,0.0084,-1,-1,0,-1
2015-12-30,0.2474,-1,-1,0,-1
2015-12-31,-0.0776,-1,-1,0,-1
2016-01-04,-0.2646,-1,-1,0,-1
2016-01-05,-0.6379,-1,-1,0,-1
2016-01-06,-0.6794,-1,-1,0,-1
2016-01-07,-0.7434,-1,-1,0,-1
2016-01-08,-0.7367,-1,-1,0,-1
2016-01-11,-0.6659,-1,-1,0,-1
2016-01-12,-0.331,-1,-1,0,-1
2016-01-13,-0.3497,-1,-1,0,-1
2016-01-14,0.1268,-1,-1,0,-1
2016-01-15,0.4505,0,0,0,0
2016-01-18,0.6749,0,0,1,0
2016-01-19,0.5866,0,0,1,0
2016-01-20,0.627,0,0,1,0
2016-01-21,0.3479,0,0,1,0
2016-01-22,0.2402,0,0,1,0
2016-01-25,0.0173,0,0,1,0
2016-01-26,-0.0123,0,0,1,0
2016-01-27,0.0103,0,0,1,0
2016-01-28,0.0754,0,0,1,0
2016-01-29,0.1252,0,0,1,0
2016-02-01,0.2525,0,0,1,0
2016-02-02,0.3603,0,0,1,0
2016-02-03,0.4035,0,0,1,0
2016-02-04,0.4226,0,0,1,0
2016-02-05,0.2559,0,0,1,0
2016-02-15,0.2022,0,0,1,0
2016-02-16,0.0843,0,0,1,0
2016-02-17,-0.113,0,0,1,0
2016-02-18,-0.3296,0,0,1,0
2016-02-19,-0.0433,0,0,1,0
2016-02-22,-0.2646,0,0,1,0
2016-02-23,-0.4059,0,0,1,0
2016-02-24,-0.5613,0,0,1,0
2016-02-25,-0.5407,0,0,1,0
2016-02-26,-0.7266,-1,-1,0,-1
2016-02-29,-0.7728,-1,-1,0,-1
2016-03-01,-0.6827,-1,-1,0,-1
2016-03-02,-0.5697,-1,-1,0,-1
2016-03-03,-0.4806,-1,-1,0,-1
2016-03-04,-0.5373,-1,-1,0,-1
2016-03-07,-0.2498,-1,-1,0,-1
2016-03-08,-0.1615,-1,-1,0,-1
2016-03-09,0.0767,-1,-1,0,-1
2016-03-10,0.1753,-1,-1,0,-1
2016-03-11,0.4686,0,0,0,0
2016-03-14,0.5829,0,0,0,0
2016-03-15,0.4776,0,0,0,0
2016-03-16,0.3016,0,0,0,0
2016-03-17,0.5545,0,0,0,0
2016-03-18,0.6683,0,0,1,0
2016-03-21,0.6023,0,0,1,0
2016-03-22,0.5971,0,0,1,0
2016-03-23,0.6164,0,0,1,0
2016-03-24,0.3924,0,0,1,0
2016-03-25,0.1574,0,0,1,0
2016-03-28,-0.0642,0,0,1,0
2016-03-29,-0.1877,0,0,1,0
2016-03-30,-0.1994,0,0,1,0
2016-03-31,-0.216,0,0,1,0
2016-04-01,-0.3312,0,0,1,0
2016-04-05,-0.1833,0,0,1,0
2016-04-06,0.0119,0,0,1,0
2016-04-07,-0.2725,0,0,1,0
2016-04-08,-0.2882,0,0,1,0
2016-04-11,0.0013,0,0,1,0
2016-04-12,-0.3108,0,0,1,0
2016-04-13,-0.5199,0,0,1,0
2016-04-14,-0.3645,0,0,1,0
2016-04-15,-0.3438,0,0,1,0
2016-04-18,-0.478,0,0,1,0
2016-04-19,-0.293,0,0,1,0
2016-04-20,-0.3855,0,0,1,0
2016-04-21,-0.728,-1,-1,0,-1
2016-04-22,-0.5777,-1,-1,0,-1
2016-04-25,-0.5268,-1,-1,0,-1
2016-04-26,-0.3976,-1,-1,0,-1
2016-04-27,-0.0034,-1,-1,0,-1
2016-04-28,0.4091,-1,-1,0,-1
2016-04-29,0.1879,-1,-1,0,-1
2016-05-03,0.5032,0,0,0,0
2016-05-04,0.4066,0,0,0,0
2016-05-05,0.4826,0,0,0,0
2016-05-06,0.3023,0,0,0,0
2016-05-09,0.2825,0,0,0,0
2016-05-10,-0.0689,0,0,0,0
2016-05-11,-0.3774,0,0,0,0
2016-05-12,-0.4133,0,0,0,0
2016-05-13,-0.2613,0,0,0,0
2016-05-16,-0.0594,0,0,0,0
2016-05-17,0.2439,0,0,0,0
2016-05-18,0.3519,0,0,0,0
2016-05-19,0.4363,0,0,0,0
2016-05-20,0.4921,0,0,0,0
2016-05-23,0.404,0,0,0,0
2016-05-24,0.1893,0,0,0,0
2016-05-25,0.2504,0,0,0,0
2016-05-26,0.1133,0,0,0,0
2016-05-27,-0.1441,0,0,0,0
2016-05-30,-0.2667,0,0,0,0
2016-05-31,0.2207,0,0,0,0
2016-06-01,0.4009,0,0,0,0
2016-06-02,0.4819,0,0,0,0
2016-06-03,0.5651,0,0,0,0
2016-06-06,0.5286,0,0,0,0
2016-06-07,0.1668,0,0,0,0
2016-06-08,0.0548,0,0,0,0
2016-06-13,-0.643,0,0,0,0
2016-06-14,-0.6637,0,0,0,0
2016-06-15,-0.43,0,0,0,0
2016-06-16,-0.4637,0,0,0,0
2016-06-17,-0.4666,0,0,0,0
2016-06-20,0.2175,0,0,0,0
2016-06-21,0.1374,0,0,0,0
